NOTES:,This sheet contains merged booths (after 2010). See Merges sheet,,,,,,,,,
,,: merged booths after 2010,,,,,,,,
,,: error. No nearby 2010 matchs,,,,,,,,
,,: a sythesized 2006 result,,,,,,,,
,,,,,,,,,,
BOOTH_NAME,VENUE NAME,ADDRESS,DISTRICT,REGION,GREENS_PERC_2010,GREENS_PERC_2006,VENUE NAME,ADDRESS,LATITUDE,LONGITUDE
Geelong West,Ashby Primary School,2 Lawton Avenue Geelong West,Geelong,Western Victoria,19.49,12.95,Ashby Primary School,2 Lawton Avenue Geelong West,-38.138279,144.34718
Gellibrand River,Gellibrand Hall,Colac-Lavers Hill Road Gellibrand,Polwarth,Western Victoria,21.33,18.34,Gellibrand Hall,Colac-Lavers Hill Road Gellibrand,-38.528449,143.539397
Glenorchy,Glenorchy Memorial Hall,Forest Street Glenorchy,Ripon,Western Victoria,6.94,7.91,Glenorchy Memorial Hall,Forest Street Glenorchy,-36.907801,142.662098
Glenthompson,Glenthompson Primary School,Memorial Drive Glenthompson,Lowan,Western Victoria,3.66,2.56,Glenthompson Primary School,Memorial Drive Glenthompson,-37.637899,142.549899
Gorae West,Gorae West Hall,Portland-Nelson Road Gorae West,South-West Coast,Western Victoria,11.96,2.86,Gorae West Hall,Portland-Nelson Road Gorae West,-38.245341,141.489062
Gordon,Gordon Public Hall,68 Main Street Gordon,Buninyong,Western Victoria,11.22,8.02,Gordon Public Hall,68 Main Street Gordon,-37.580169,144.10391
Goroke,Goroke Memorial Hall,Main Street Goroke,Lowan,Western Victoria,3.46,1.62,Goroke Memorial Hall,Main Street Goroke,-36.718831,141.474141
Grassmere,Grassmere Primary School,16 Ibbs Lane Grassmere,South-West Coast,Western Victoria,9.52,7.50,Grassmere Primary School,16 Ibbs Lane Grassmere,-38.284959,142.523278
Great Western,Great Western Primary School,Stephenson Street Great Western,Ripon,Western Victoria,7.14,4.30,Great Western Primary School,Stephenson Street Great Western,-37.148347,142.851318
Grovedale,Grovedale  College,Wingarra Drive Grovedale,South Barwon,Western Victoria,7.88,6.27,Grovedale  College,Wingarra Drive Grovedale,-38.210474,144.328576
Grovedale Central,Grovedale Primary School,143 Bailey Street Grovedale,South Barwon,Western Victoria,9.01,6.93,Grovedale Primary School,143 Bailey Street Grovedale,-38.197109,144.348065
Grovedale East,Grovedale Uniting Church Hall,corner Reserve and Torquay Roads Grovedale,South Barwon,Western Victoria,7.41,6.93,Grovedale Uniting Church Hall,corner Reserve and Torquay Roads Grovedale,-38.205665,144.340895
Haddon,Haddon Recreation Centre,398 Sago Hill Road Haddon,Buninyong,Western Victoria,12.68,10.88,Haddon Recreation Centre,398 Sago Hill Road Haddon,-37.589092,143.72415
Halls Gap,Halls Gap Community Hall,Grampians Road Halls Gap,Lowan,Western Victoria,17.81,14.73,Halls Gap Community Hall,Grampians Road Halls Gap,-37.140147,142.519778
Hamilton,Monivae College,Ballarat Road Hamilton,Lowan,Western Victoria,9.33,7.14,Monivae College,Ballarat Road Hamilton,-37.741381,142.048389
